"Date","Year","Month","season","State","state_abbr","Primary Mode","Etiology","Illnesses","Hospitalizations","Deaths","outbreak_severity","Water Exposure","Water Type","Animal Type","is_food_related","is_water_related","is_animal_related"
"1977-07",1977,7,"Summer","South Carolina","SC","Water","Hepatitis A",47,0,0,47,"Drinking water","Other",NA,0,1,0
"1977-08",1977,8,"Summer","Tennessee","TN","Water","Legionella unknown",33,0,3,36,"Undetermined water",NA,NA,0,1,0
"1977-08",1977,8,"Summer","Pennsylvania","PA","Water","Unknown",150,0,0,150,"Drinking water","Other",NA,0,1,0
"1977-08",1977,8,"Summer","North Dakota","ND","Water","Unknown",25,0,0,25,"Drinking water","Community",NA,0,1,0
"1977-08",1977,8,"Summer","California","CA","Water","Unknown",75,0,0,75,"Drinking water","Other",NA,0,1,0
"1977-09",1977,9,"Fall","California","CA","Water","Unknown",12,0,0,12,"Other/Environmental water",NA,NA,0,1,0
"1977-10",1977,10,"Fall","Connecticut","CT","Water","Copper",3,0,0,3,"Drinking water","Community",NA,0,1,0
"1977-10",1977,10,"Fall","Pennsylvania","PA","Water","Unknown",500,0,0,500,"Drinking water","Other",NA,0,1,0
"1977-11",1977,11,"Fall","Michigan","MI","Water","Fluoride",4,0,0,4,"Drinking water","Community",NA,0,1,0
"1977-11",1977,11,"Fall","Pennsylvania","PA","Water","Copper",11,0,0,11,"Drinking water","Other",NA,0,1,0
"1978-02",1978,2,"Winter","Pennsylvania","PA","Water","Unknown",91,0,0,91,"Drinking water","Other",NA,0,1,0
"1978-02",1978,2,"Winter","Montana","MT","Water","Pseudomonas unknown",21,0,0,21,"Recreational water -- treated","Pool - Other Swimming Pool",NA,0,1,0
"1978-03",1978,3,"Spring","Colorado","CO","Water","Giardia duodenalis",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1978-04",1978,4,"Spring","Pennsylvania","PA","Water","Unknown",50,0,0,50,"Drinking water","Other",NA,0,1,0
"1978-05",1978,5,"Spring","New York","NY","Water","Shigella unknown",23,0,0,23,"Drinking water","Other",NA,0,1,0
"1978-05",1978,5,"Spring","Missouri","MO","Water","Unknown",750,0,0,750,"Drinking water","Other",NA,0,1,0
"1978-05",1978,5,"Spring","Oregon","OR","Water","Shigella sonnei",34,0,0,34,"Drinking water","Community",NA,0,1,0
"1978-05",1978,5,"Spring","Washington","WA","Water","Norovirus other",467,0,0,467,"Drinking water","Other",NA,0,1,0
"1978-05",1978,5,"Spring","Vermont","VT","Water","Campylobacter jejuni",0,0,0,0,"Drinking water","Community",NA,0,1,0
"1978-05",1978,5,"Spring","Pennsylvania","PA","Water","Norovirus other",350,0,0,350,"Drinking water","Other",NA,0,1,0
"1978-06",1978,6,"Summer","Pennsylvania","PA","Water","Shigella sonnei",99,0,0,99,"Drinking water","Other",NA,0,1,0
"1978-06",1978,6,"Summer","Colorado","CO","Water","Unknown",350,0,0,350,"Drinking water","Other",NA,0,1,0
"1978-07",1978,7,"Summer","Georgia","GA","Water","Legionella pneumophila",8,4,0,12,"Other/Environmental water",NA,NA,0,1,0
"1978-07",1978,7,"Summer","California","CA","Water",NA,200,0,0,200,"Recreational water -- treated","Pool - Other Swimming Pool",NA,0,1,0
"1978-07",1978,7,"Summer","Utah","UT","Water","Giardia duodenalis",18,0,0,18,"Other/Environmental water",NA,NA,0,1,0
